seed,AR_net,IR_net,AR_gross,IR_gross
0,0.06891502,0.28661482155072787,0.79458547,3.3153684374924075
1,0.18606766,0.7885737905860072,0.9001355,3.8262592451373663
2,0.17260012,0.7401619314006993,0.89650637,3.856847581228265
3,0.12067258,0.4767244965586847,0.8289053,3.2872357124242337
4,0.17094673,0.7119507904714298,0.8920712,3.7326236105312027
