instrument,datetime,score,label
SH600000,2020-06-17,0.37364456,0.0095124245
SH600004,2020-06-17,0.14277372,-0.024167657
SH600009,2020-06-17,0.13001025,0.0055555105
SH600010,2020-06-17,0.3117889,-0.060542822
SH600011,2020-06-17,0.036000516,-0.0071174502
SH600015,2020-06-17,0.14586908,0.0064958334
SH600016,2020-06-17,0.2484104,0.0053663254
SH600018,2020-06-17,0.17200114,-0.0033898354
SH600019,2020-06-17,0.3069055,-0.039420784
SH600023,2020-06-17,0.43211642,-0.0017452836
SH600025,2020-06-17,0.41887498,0.038860083
SH600027,2020-06-17,0.10791376,-0.011725366
SH600028,2020-06-17,0.21280718,-0.009984732
SH600029,2020-06-17,-0.068685085,0.0
SH600030,2020-06-17,0.13298297,0.050742984
SH600031,2020-06-17,0.13384257,-0.037397385
SH600036,2020-06-17,0.38801742,0.00030064583
SH600038,2020-06-17,0.15403408,-0.004927337
SH600048,2020-06-17,-0.004872117,0.008896947
SH600050,2020-06-17,0.0081167035,0.0051879883
SH600061,2020-06-17,0.266726,0.07392776
SH600066,2020-06-17,0.122400865,0.031588078
SH600068,2020-06-17,0.079300374,-0.010027111
SH600085,2020-06-17,0.20676129,0.011754036
SH600089,2020-06-17,-0.1643979,-0.00576514
SH600100,2020-06-17,0.018894847,0.0026818514
SH600104,2020-06-17,-0.0421612,0.019621015
SH600109,2020-06-17,-0.20364209,0.06861806
SH600111,2020-06-17,-0.1315688,-0.007363677
SH600115,2020-06-17,-0.061524738,-0.010186791
SH600118,2020-06-17,0.06767619,-0.043446183
SH600153,2020-06-17,0.16539954,-0.028409898
SH600170,2020-06-17,-0.035085533,0.0
SH600176,2020-06-17,0.013566967,0.0
SH600177,2020-06-17,0.3618071,-0.009901464
SH600183,2020-06-17,0.029052895,0.011849284
SH600188,2020-06-17,0.32243827,-0.016485453
SH600196,2020-06-17,0.1635985,-0.029998302
SH600208,2020-06-17,0.04364879,-0.003411293
SH600219,2020-06-17,0.30692655,-0.014393449
SH600221,2020-06-17,-0.3466106,-0.04339248
SH600233,2020-06-17,0.09105575,-0.12084669
SH600271,2020-06-17,0.17477699,-0.01365459
SH600276,2020-06-17,0.2786746,0.040873528
SH600297,2020-06-17,0.13039896,0.009332657
SH600299,2020-06-17,-0.16906582,-0.008237183
SH600309,2020-06-17,0.18462005,0.029217124
SH600332,2020-06-17,0.28881904,-0.010176599
SH600340,2020-06-17,0.11259672,0.030540824
SH600346,2020-06-17,0.03322972,0.011743784
