instrument,datetime,score,label
SH600000,2020-06-17,0.1707302,0.0095124245
SH600004,2020-06-17,0.17257722,-0.024167657
SH600009,2020-06-17,0.18190402,0.0055555105
SH600010,2020-06-17,-0.002883209,-0.060542822
SH600011,2020-06-17,0.08963974,-0.0071174502
SH600015,2020-06-17,0.21454926,0.0064958334
SH600016,2020-06-17,0.21945556,0.0053663254
SH600018,2020-06-17,0.036945835,-0.0033898354
SH600019,2020-06-17,-0.06857665,-0.039420784
SH600023,2020-06-17,0.25226542,-0.0017452836
SH600025,2020-06-17,0.13471788,0.038860083
SH600027,2020-06-17,0.13317215,-0.011725366
SH600028,2020-06-17,0.14959325,-0.009984732
SH600029,2020-06-17,-0.057740524,0.0
SH600030,2020-06-17,0.1314223,0.050742984
SH600031,2020-06-17,0.1269229,-0.037397385
SH600036,2020-06-17,0.16031139,0.00030064583
SH600038,2020-06-17,-0.032666035,-0.004927337
SH600048,2020-06-17,-0.09992501,0.008896947
SH600050,2020-06-17,0.14142406,0.0051879883
SH600061,2020-06-17,-0.045000985,0.07392776
SH600066,2020-06-17,0.12472814,0.031588078
SH600068,2020-06-17,0.3786028,-0.010027111
SH600085,2020-06-17,-0.20981996,0.011754036
SH600089,2020-06-17,-0.04318095,-0.00576514
SH600100,2020-06-17,-0.22257356,0.0026818514
SH600104,2020-06-17,0.009221928,0.019621015
SH600109,2020-06-17,-0.28846383,0.06861806
SH600111,2020-06-17,-0.19676279,-0.007363677
SH600115,2020-06-17,-0.13770019,-0.010186791
SH600118,2020-06-17,-0.16279641,-0.043446183
SH600153,2020-06-17,-0.13809869,-0.028409898
SH600170,2020-06-17,0.08323747,0.0
SH600176,2020-06-17,-0.11160992,0.0
SH600177,2020-06-17,0.21356376,-0.009901464
SH600183,2020-06-17,-0.49023673,0.011849284
SH600188,2020-06-17,0.11556745,-0.016485453
SH600196,2020-06-17,-0.3515935,-0.029998302
SH600208,2020-06-17,-0.056698322,-0.003411293
SH600219,2020-06-17,0.23519847,-0.014393449
SH600221,2020-06-17,-0.28557843,-0.04339248
SH600233,2020-06-17,-0.29169935,-0.12084669
SH600271,2020-06-17,0.015773704,-0.01365459
SH600276,2020-06-17,-0.23597738,0.040873528
SH600297,2020-06-17,0.34474045,0.009332657
SH600299,2020-06-17,-0.42484403,-0.008237183
SH600309,2020-06-17,0.12079148,0.029217124
SH600332,2020-06-17,-0.12727757,-0.010176599
SH600340,2020-06-17,0.04112126,0.030540824
SH600346,2020-06-17,-0.056939572,0.011743784
SH600352,2020-06-17,-0.1369811,-0.013985097
SH600362,2020-06-17,-0.17168823,-0.0023507476
SH600369,2020-06-17,0.012001397,0.033834696
SH600372,2020-06-17,0.18950865,-0.00075149536
SH600383,2020-06-17,0.068405434,0.0128291845
SH600390,2020-06-17,0.17713912,0.01724565
SH600398,2020-06-17,0.319705,0.0
SH600406,2020-06-17,-0.15836227,0.020175338
SH600436,2020-06-17,0.16213919,0.07747984
SH600438,2020-06-17,0.03079875,0.15672517
SH600482,2020-06-17,-0.113238476,-0.017132938
SH600487,2020-06-17,-0.06884776,-0.014246106
SH600489,2020-06-17,-0.4008983,0.03463888
SH600498,2020-06-17,-0.118557125,-0.03888184
SH600516,2020-06-17,-0.30193624,-0.019728899
SH600519,2020-06-17,0.2036245,0.04526937
SH600522,2020-06-17,0.08389276,-0.023293912
SH600535,2020-06-17,-0.2108642,-0.008685708
SH600547,2020-06-17,-0.13832669,0.040190935
SH600566,2020-06-17,-0.4591581,-0.021288812
SH600570,2020-06-17,-0.09400449,0.114360094
SH600583,2020-06-17,0.10064823,-0.010672748
SH600585,2020-06-17,-0.017476015,-0.007873654
SH600588,2020-06-17,-0.46712792,0.11139369
SH600606,2020-06-17,0.13963634,0.008894801
SH600637,2020-06-17,-0.27864915,-0.023141205
SH600655,2020-06-17,-0.38518864,0.029238343
SH600660,2020-06-17,-0.052769825,0.0056802034
SH600663,2020-06-17,0.011965187,-0.006299913
SH600674,2020-06-17,0.1202217,0.0032082796
SH600690,2020-06-17,-0.16317256,0.043073058
SH600703,2020-06-17,-0.0102884825,0.030646086
SH600705,2020-06-17,0.13837942,0.025842428
SH600733,2020-06-17,-0.468282,-0.058949947
SH600741,2020-06-17,0.15696523,0.009203672
SH600760,2020-06-17,-0.244594,0.0037897825
SH600795,2020-06-17,0.12584993,-0.010700762
SH600809,2020-06-17,0.2609783,0.04298222
SH600816,2020-06-17,-0.24297448,0.057213187
SH600837,2020-06-17,0.07008664,0.080610275
SH600848,2020-06-17,-0.14497608,-0.008451879
SH600867,2020-06-17,-0.34545052,0.010306001
SH600886,2020-06-17,0.15857644,0.0063695908
SH600887,2020-06-17,-0.046667084,0.05403638
SH600893,2020-06-17,-0.14831072,0.016573787
SH600900,2020-06-17,0.09322028,0.049473047
SH600919,2020-06-17,0.09865336,0.009216666
SH600926,2020-06-17,-0.01809038,0.0031546354
SH600928,2020-06-17,0.10418774,0.010889292
SH600958,2020-06-17,0.031268463,0.047619104
SH600968,2020-06-17,0.07068901,-0.012552321
SH600977,2020-06-17,0.053951964,0.022472024
SH600989,2020-06-17,-0.1808006,-0.021715522
SH600998,2020-06-17,-0.063578695,-0.009605169
SH600999,2020-06-17,0.14759089,0.18857348
SH601006,2020-06-17,0.13728027,-0.00317204
SH601009,2020-06-17,0.17957003,0.008101225
SH601012,2020-06-17,-0.24992205,0.14284825
SH601018,2020-06-17,0.01740742,0.021686792
SH601021,2020-06-17,0.17266886,-0.01623857
SH601066,2020-06-17,0.05506307,0.12615478
SH601088,2020-06-17,0.0032346342,-0.018750072
SH601108,2020-06-17,-0.28300053,0.03835094
SH601111,2020-06-17,-0.07527925,0.0
SH601117,2020-06-17,0.0011257548,-0.011164248
SH601138,2020-06-17,-0.09879941,0.0776099
SH601155,2020-06-17,-0.19406866,-0.015601277
SH601162,2020-06-17,-0.3325953,0.015804648
SH601166,2020-06-17,0.05495067,0.005849719
SH601169,2020-06-17,0.27984336,0.0041941404
SH601186,2020-06-17,0.23986888,-0.017142892
SH601198,2020-06-17,0.12645085,0.047920346
SH601211,2020-06-17,0.08864804,0.057979107
SH601212,2020-06-17,-0.11787109,-0.0076628327
SH601216,2020-06-17,-0.14258458,0.0040872097
SH601225,2020-06-17,0.25585848,0.0012034178
SH601229,2020-06-17,0.13869858,-0.006989777
SH601236,2020-06-17,-0.23395154,-0.017797053
SH601238,2020-06-17,0.14400813,-0.0006557107
SH601288,2020-06-17,0.29679823,0.0057252645
SH601298,2020-06-17,-0.12603466,-0.013179541
SH601318,2020-06-17,0.06473276,-0.015518963
SH601319,2020-06-17,0.0030178968,0.030063272
SH601328,2020-06-17,0.23463826,0.0021231174
SH601336,2020-06-17,0.055310532,-0.008677721
SH601360,2020-06-17,-0.07258876,0.010279417
SH601377,2020-06-17,0.0038880352,0.06381428
SH601390,2020-06-17,0.23349294,-0.0133779645
SH601398,2020-06-17,0.3454386,0.005423069
SH601555,2020-06-17,-0.021437777,0.034663796
SH601577,2020-06-17,0.107547775,-0.0012239814
SH601600,2020-06-17,0.15556692,-0.020833373
SH601601,2020-06-17,0.0064392556,-0.009732366
SH601607,2020-06-17,-0.33175212,0.0
SH601618,2020-06-17,0.18023056,-0.0069444776
SH601628,2020-06-17,-0.034879237,0.022870898
SH601633,2020-06-17,-0.004578529,0.0010179281
SH601668,2020-06-17,0.14354101,-0.0118919015
SH601669,2020-06-17,0.2523599,-0.009456217
SH601688,2020-06-17,0.05371535,0.065642476
SH601698,2020-06-17,-0.026772408,-0.007786393
SH601727,2020-06-17,-0.4926319,0.02154398
SH601766,2020-06-17,0.044537187,-0.008784711
SH601788,2020-06-17,0.030235844,0.33908474
SH601800,2020-06-17,0.09089753,-0.018537581
SH601808,2020-06-17,-0.115425736,-0.009026349
SH601818,2020-06-17,0.0914065,0.013059735
SH601828,2020-06-17,-0.081597894,-0.03086418
SH601838,2020-06-17,0.28409976,0.0071173906
SH601857,2020-06-17,0.2626772,-0.006956458
SH601877,2020-06-17,0.14847375,0.06303084
SH601878,2020-06-17,-0.031219048,0.03781092
SH601881,2020-06-17,-0.18047406,0.18029547
SH601888,2020-06-17,-0.3126362,-0.013815045
SH601898,2020-06-17,0.0077620763,-0.019565225
SH601899,2020-06-17,-0.25934783,0.0544554
SH601901,2020-06-17,-0.09600948,0.02920723
SH601919,2020-06-17,0.23577116,-0.021798372
SH601933,2020-06-17,-0.174745,0.013984323
SH601939,2020-06-17,0.1730427,0.0063005686
SH601985,2020-06-17,0.21201837,-0.004514694
SH601988,2020-06-17,0.3380478,0.0
SH601989,2020-06-17,0.08878206,-0.011695921
SH601992,2020-06-17,0.09038746,-0.013235331
SH601997,2020-06-17,0.2022539,-0.0008841753
SH601998,2020-06-17,0.31681073,0.0013440847
SH603019,2020-06-17,-0.12704568,0.0030574799
SH603156,2020-06-17,-0.120018706,-0.01994592
SH603160,2020-06-17,0.0800779,0.11345327
SH603259,2020-06-17,-0.07376088,0.1319685
SH603260,2020-06-17,-0.44160235,0.027850747
SH603288,2020-06-17,-0.4146587,0.06146705
SH603501,2020-06-17,0.0036730338,0.1303519
SH603799,2020-06-17,-0.740892,-0.004638076
SH603833,2020-06-17,-0.14555219,0.03057766
SH603899,2020-06-17,-0.048298076,0.021685839
SH603986,2020-06-17,-0.042090774,0.10283387
SH603993,2020-06-17,-0.49193114,-0.021259904
SZ000001,2020-06-17,0.06457025,0.0031334162
SZ000002,2020-06-17,-0.16162024,0.01969862
SZ000063,2020-06-17,-0.35024664,-0.06299788
SZ000069,2020-06-17,-0.14211665,0.020007133
SZ000100,2020-06-17,-0.2615534,0.0015448332
SZ000157,2020-06-17,-0.030628925,-0.024955511
SZ000166,2020-06-17,0.17004941,0.086206794
SZ000333,2020-06-17,0.42522398,0.03196323
SZ000338,2020-06-17,0.03665997,-0.003674984
SZ000413,2020-06-17,-0.25744832,-0.018081725
SZ000415,2020-06-17,-0.20678626,-0.029274344
SZ000423,2020-06-17,-0.04815851,0.027338505
SZ000425,2020-06-17,-0.2420951,-0.029705107
SZ000538,2020-06-17,-0.250934,0.04812014
SZ000568,2020-06-17,0.25863302,0.028588057
SZ000596,2020-06-17,0.3179789,0.04409492
SZ000625,2020-06-17,-0.1075564,-0.013941586
SZ000627,2020-06-17,0.1231443,0.035299897
SZ000629,2020-06-17,0.06428417,-0.032866716
SZ000630,2020-06-17,0.06294976,-0.015372872
SZ000651,2020-06-17,0.08683566,-0.014467299
SZ000656,2020-06-17,0.18705112,0.02560103
SZ000661,2020-06-17,-0.47570145,0.11034131
SZ000671,2020-06-17,-0.044472337,-0.0015106797
SZ000703,2020-06-17,0.15628943,-0.014409959
SZ000709,2020-06-17,-0.41586107,-0.050955415
SZ000723,2020-06-17,-0.17723449,-0.013856888
SZ000725,2020-06-17,-0.1606243,-0.00452286
SZ000728,2020-06-17,-0.0017197374,0.08655906
SZ000768,2020-06-17,0.14226042,0.05357647
SZ000776,2020-06-17,0.12631862,0.055860758
SZ000783,2020-06-17,-0.37091422,0.050082564
SZ000786,2020-06-17,0.010590771,0.004204154
SZ000858,2020-06-17,0.27709433,0.0790472
SZ000876,2020-06-17,-0.2741853,-0.014575303
SZ000895,2020-06-17,-0.15052854,0.0513345
SZ000898,2020-06-17,0.22501655,-0.042091906
SZ000938,2020-06-17,-0.29429853,0.016258597
SZ000961,2020-06-17,-0.245203,0.033927083
SZ000963,2020-06-17,-0.57488304,0.030349493
SZ001979,2020-06-17,-0.13905956,-0.0021539927
SZ002001,2020-06-17,-0.42927107,0.028061867
SZ002007,2020-06-17,-0.5452954,0.007975221
SZ002008,2020-06-17,-0.4425949,0.012880087
SZ002010,2020-06-17,0.2246229,-0.013894737
SZ002024,2020-06-17,-0.022344274,-0.0066685677
SZ002027,2020-06-17,-0.018601982,0.0612489
SZ002032,2020-06-17,0.22424828,0.05512631
SZ002044,2020-06-17,-0.21837448,0.15055943
SZ002050,2020-06-17,0.05830361,0.13603854
SZ002081,2020-06-17,-0.026808156,-0.005057454
SZ002120,2020-06-17,0.0030033235,-0.11928332
SZ002142,2020-06-17,-0.017901657,0.023450851
SZ002146,2020-06-17,-0.06316042,0.012516141
SZ002153,2020-06-17,-0.25685254,0.048385024
SZ002179,2020-06-17,-0.090516664,0.02607441
SZ002202,2020-06-17,0.023881333,-0.019647837
SZ002230,2020-06-17,-0.31432348,0.045742154
