instrument,datetime,score,label
SH600000,2020-06-17,0.2551251,0.0095124245
SH600004,2020-06-17,-0.009352595,-0.024167657
SH600009,2020-06-17,0.14746231,0.0055555105
SH600010,2020-06-17,-0.18961371,-0.060542822
SH600011,2020-06-17,0.16754758,-0.0071174502
SH600015,2020-06-17,0.19692394,0.0064958334
SH600016,2020-06-17,0.33364466,0.0053663254
SH600018,2020-06-17,0.04463291,-0.0033898354
SH600019,2020-06-17,-0.03857079,-0.039420784
SH600023,2020-06-17,0.3974086,-0.0017452836
SH600025,2020-06-17,0.1759376,0.038860083
SH600027,2020-06-17,0.09650794,-0.011725366
SH600028,2020-06-17,0.1773774,-0.009984732
SH600029,2020-06-17,-0.0126389265,0.0
SH600030,2020-06-17,0.061796367,0.050742984
SH600031,2020-06-17,0.0015102029,-0.037397385
SH600036,2020-06-17,0.25549638,0.00030064583
SH600038,2020-06-17,-0.15982065,-0.004927337
SH600048,2020-06-17,0.042827964,0.008896947
SH600050,2020-06-17,0.082725674,0.0051879883
SH600061,2020-06-17,-0.04436609,0.07392776
SH600066,2020-06-17,0.2077956,0.031588078
SH600068,2020-06-17,0.17258751,-0.010027111
SH600085,2020-06-17,-0.21047953,0.011754036
SH600089,2020-06-17,0.10977483,-0.00576514
SH600100,2020-06-17,-0.20780289,0.0026818514
SH600104,2020-06-17,0.07855031,0.019621015
SH600109,2020-06-17,-0.34680146,0.06861806
SH600111,2020-06-17,0.073326886,-0.007363677
SH600115,2020-06-17,-0.05422485,-0.010186791
SH600118,2020-06-17,-0.2591284,-0.043446183
SH600153,2020-06-17,-0.16941845,-0.028409898
SH600170,2020-06-17,0.17519832,0.0
SH600176,2020-06-17,-0.06950398,0.0
SH600177,2020-06-17,0.34321737,-0.009901464
SH600183,2020-06-17,-0.5030563,0.011849284
SH600188,2020-06-17,0.13599956,-0.016485453
SH600196,2020-06-17,-0.10370654,-0.029998302
SH600208,2020-06-17,0.046743065,-0.003411293
SH600219,2020-06-17,0.057886362,-0.014393449
SH600221,2020-06-17,-0.10102546,-0.04339248
SH600233,2020-06-17,-0.08015461,-0.12084669
SH600271,2020-06-17,-0.082347944,-0.01365459
SH600276,2020-06-17,-0.048228428,0.040873528
SH600297,2020-06-17,0.27268955,0.009332657
SH600299,2020-06-17,-0.50209063,-0.008237183
SH600309,2020-06-17,0.019333214,0.029217124
SH600332,2020-06-17,-0.16636394,-0.010176599
SH600340,2020-06-17,0.23595321,0.030540824
SH600346,2020-06-17,-0.0036087036,0.011743784
SH600352,2020-06-17,-0.06068617,-0.013985097
SH600362,2020-06-17,-0.072488844,-0.0023507476
SH600369,2020-06-17,-0.10217649,0.033834696
SH600372,2020-06-17,-0.013351321,-0.00075149536
SH600383,2020-06-17,0.06698841,0.0128291845
SH600390,2020-06-17,0.24122591,0.01724565
SH600398,2020-06-17,0.13171723,0.0
SH600406,2020-06-17,-0.025455952,0.020175338
SH600436,2020-06-17,0.054646097,0.07747984
SH600438,2020-06-17,0.050378673,0.15672517
SH600482,2020-06-17,-0.13239741,-0.017132938
SH600487,2020-06-17,0.19031227,-0.014246106
SH600489,2020-06-17,-0.21019885,0.03463888
SH600498,2020-06-17,-0.29316482,-0.03888184
SH600516,2020-06-17,-0.25703263,-0.019728899
SH600519,2020-06-17,0.1290068,0.04526937
SH600522,2020-06-17,0.090160936,-0.023293912
SH600535,2020-06-17,-0.16022208,-0.008685708
SH600547,2020-06-17,-0.049969852,0.040190935
SH600566,2020-06-17,-0.23485911,-0.021288812
SH600570,2020-06-17,0.11409275,0.114360094
SH600583,2020-06-17,0.11873758,-0.010672748
SH600585,2020-06-17,-0.06899485,-0.007873654
SH600588,2020-06-17,-0.24805346,0.11139369
SH600606,2020-06-17,0.24446666,0.008894801
SH600637,2020-06-17,-0.14216197,-0.023141205
SH600655,2020-06-17,-0.3453818,0.029238343
SH600660,2020-06-17,0.061263323,0.0056802034
SH600663,2020-06-17,0.03997761,-0.006299913
SH600674,2020-06-17,0.028559752,0.0032082796
SH600690,2020-06-17,-0.20573878,0.043073058
SH600703,2020-06-17,-0.22550306,0.030646086
SH600705,2020-06-17,0.13665766,0.025842428
SH600733,2020-06-17,-0.07630411,-0.058949947
SH600741,2020-06-17,0.12468809,0.009203672
SH600760,2020-06-17,-0.49886012,0.0037897825
SH600795,2020-06-17,0.120666504,-0.010700762
SH600809,2020-06-17,0.06515053,0.04298222
SH600816,2020-06-17,-0.31352848,0.057213187
SH600837,2020-06-17,0.088267446,0.080610275
SH600848,2020-06-17,-0.12043023,-0.008451879
SH600867,2020-06-17,-0.32938874,0.010306001
SH600886,2020-06-17,0.22535065,0.0063695908
SH600887,2020-06-17,0.10070714,0.05403638
SH600893,2020-06-17,-0.1372047,0.016573787
SH600900,2020-06-17,0.017806306,0.049473047
SH600919,2020-06-17,0.2873572,0.009216666
SH600926,2020-06-17,0.07894966,0.0031546354
SH600928,2020-06-17,0.29103315,0.010889292
SH600958,2020-06-17,0.060062647,0.047619104
SH600968,2020-06-17,0.28937376,-0.012552321
SH600977,2020-06-17,0.12599137,0.022472024
SH600989,2020-06-17,-0.013566017,-0.021715522
SH600998,2020-06-17,-0.09922458,-0.009605169
SH600999,2020-06-17,0.28338093,0.18857348
SH601006,2020-06-17,0.12601005,-0.00317204
SH601009,2020-06-17,0.19639736,0.008101225
SH601012,2020-06-17,-0.09629765,0.14284825
SH601018,2020-06-17,0.07800323,0.021686792
SH601021,2020-06-17,-0.048706263,-0.01623857
SH601066,2020-06-17,-0.0070489645,0.12615478
SH601088,2020-06-17,0.17654088,-0.018750072
SH601108,2020-06-17,-0.2197783,0.03835094
SH601111,2020-06-17,-0.057560682,0.0
SH601117,2020-06-17,0.039810658,-0.011164248
SH601138,2020-06-17,-0.14702582,0.0776099
SH601155,2020-06-17,-0.17254245,-0.015601277
SH601162,2020-06-17,-0.25505072,0.015804648
SH601166,2020-06-17,0.24064939,0.005849719
SH601169,2020-06-17,0.23575689,0.0041941404
SH601186,2020-06-17,0.23856497,-0.017142892
SH601198,2020-06-17,0.0763067,0.047920346
SH601211,2020-06-17,-0.023136735,0.057979107
SH601212,2020-06-17,0.058741152,-0.0076628327
SH601216,2020-06-17,-0.3022006,0.0040872097
