,cum_excess_net,cum_excess_gross,daily_cost
2020-06-17,-0.012782335,-0.010282338,0.0025
2020-06-18,-0.02252996,-0.016689599,0.0034
2020-06-19,-0.015268564,-0.006631553,0.0028000000000000004
2020-06-22,-0.0104827285,0.0015736818,0.0034
2020-06-23,-0.0062072873,0.010107756,0.0042
2020-06-24,-0.02363795,-0.003164649,0.0044
2020-06-29,-0.0887211,-0.06662208,0.003
2020-06-30,-0.12560123,-0.100476325,0.0042
2020-07-01,-0.15818495,-0.13021821,0.0042
2020-07-02,-0.1825921,-0.15213108,0.0038
2020-07-03,-0.13734668,-0.10112971,0.0048000000000000004
2020-07-06,-0.11814666,-0.07698876,0.0046
2020-07-07,-0.10739678,-0.0618605,0.0042
2020-07-08,-0.0967195,-0.046135366,0.0048000000000000004
2020-07-09,-0.10418403,-0.04905784,0.005200000000000001
2020-07-10,-0.12253338,-0.06359142,0.005200000000000001
2020-07-13,-0.12614071,-0.06294632,0.0048000000000000004
2020-07-14,-0.13550657,-0.068679035,0.0046
2020-07-15,-0.15729266,-0.0887965,0.0036
2020-07-16,-0.15372539,-0.08129448,0.004
2020-07-17,-0.15254617,-0.07633954,0.004
2020-07-20,-0.15612316,-0.07617402,0.0044
2020-07-21,-0.15937155,-0.07548064,0.0046
2020-07-22,-0.14565009,-0.056137025,0.0046
2020-07-23,-0.1353414,-0.040406466,0.0046
2020-07-24,-0.1247828,-0.023890615,0.005
2020-07-27,-0.14446038,-0.042322516,0.0036
2020-07-28,-0.16181332,-0.057533324,0.0044
2020-07-29,-0.17238575,-0.06527424,0.0044
2020-07-30,-0.16453296,-0.051918507,0.0048000000000000004
2020-07-31,-0.15774262,-0.040610194,0.0038
2020-08-03,-0.16003704,-0.03881049,0.0046
2020-08-04,-0.1723265,-0.049413323,0.0036
2020-08-05,-0.17029351,-0.04365629,0.0036
2020-08-06,-0.18961722,-0.061912656,0.0042
2020-08-07,-0.18975198,-0.05869156,0.0036
2020-08-10,-0.19450259,-0.060257018,0.0042
2020-08-11,-0.1982305,-0.060847223,0.004
2020-08-12,-0.19838053,-0.057266295,0.004
2020-08-13,-0.20112151,-0.057284474,0.0034
2020-08-14,-0.20134813,-0.053592443,0.0042
2020-08-17,-0.18902999,-0.034831166,0.0044
2020-08-18,-0.18882263,-0.030337632,0.0044
2020-08-19,-0.16906518,-0.0018717647,0.005
2020-08-20,-0.15593988,0.017288089,0.0034
2020-08-21,-0.14295185,0.03701079,0.004
2020-08-24,-0.13335645,0.052769184,0.004
2020-08-25,-0.12940186,0.06199467,0.0042
2020-08-26,-0.12035173,0.07728243,0.004
2020-08-27,-0.12897003,0.070821404,0.0038
2020-08-28,-0.12677681,0.07822919,0.0044
2020-08-31,-0.14633435,0.05882442,0.0044
2020-09-01,-0.15101707,0.055769324,0.0026000000000000003
2020-09-02,-0.18663424,0.014855385,0.0031999999999999997
2020-09-03,-0.21229589,-0.012900829,0.0042
2020-09-04,-0.20556915,-0.0015100241,0.003
2020-09-07,-0.1943875,0.015738964,0.0031999999999999997
2020-09-08,-0.16440481,0.05679238,0.0031999999999999997
2020-09-09,-0.1474207,0.08186555,0.0034
2020-09-10,-0.13840634,0.09698248,0.0034
2020-09-11,-0.1381067,0.10109377,0.0034
2020-09-14,-0.14569592,0.095802665,0.004
2020-09-15,-0.1507951,0.09342611,0.0038
2020-09-16,-0.14581352,0.1044327,0.0042
2020-09-17,-0.14243919,0.11365509,0.0044
2020-09-18,-0.1285544,0.13614094,0.004
2020-09-21,-0.11826509,0.15410006,0.004
2020-09-22,-0.12756181,0.14631724,0.0038
2020-09-23,-0.12976187,0.14686549,0.003
2020-09-24,-0.12803179,0.15327418,0.0036
2020-09-25,-0.14018476,0.14042974,0.0028000000000000004
2020-09-28,-0.14154226,0.14273477,0.0036
2020-09-29,-0.14100778,0.14778864,0.0038
2020-09-30,-0.12756133,0.16874015,0.0026000000000000003
2020-10-09,-0.12610745,0.17629778,0.0048000000000000004
2020-10-12,-0.10888159,0.20442498,0.0042
2020-10-13,-0.100346565,0.22053766,0.0038
2020-10-14,-0.09894794,0.22609675,0.003
2020-10-15,-0.0896889,0.24163866,0.0024000000000000002
2020-10-16,-0.09054917,0.24319696,0.0022
2020-10-19,-0.093345046,0.24335337,0.0031999999999999997
2020-10-20,-0.09331554,0.24637794,0.0024000000000000002
2020-10-21,-0.07826728,0.27130175,0.0034
2020-10-22,-0.046021163,0.31908262,0.0026000000000000003
2020-10-23,-0.0167768,0.36268497,0.0024000000000000002
2020-10-26,0.021397352,0.41886222,0.0024000000000000002
2020-10-27,0.027511954,0.43189645,0.0031999999999999997
2020-10-28,0.05432141,0.47297978,0.0026000000000000003
2020-10-29,0.066693544,0.4937998,0.0024000000000000002
2020-10-30,0.046689987,0.47176206,0.004
2020-11-02,0.00989449,0.4250275,0.0034
2020-11-03,-0.0010547042,0.41584766,0.0044
2020-11-04,-0.008587837,0.41140044,0.0044
2020-11-05,-0.020075977,0.40125573,0.0044
2020-11-06,-0.041226804,0.37605536,0.0036
2020-11-09,-0.056416214,0.36113536,0.005
2020-11-10,-0.061457753,0.3593074,0.004
2020-11-11,-0.07325709,0.34928656,0.005200000000000001
2020-11-12,-0.095746815,0.32059062,0.003
2020-11-13,-0.10461646,0.31265557,0.0038
2020-11-16,-0.10811323,0.31278002,0.004
2020-11-17,-0.11465567,0.30866385,0.0042
2020-11-18,-0.13387811,0.28443813,0.0031999999999999997
2020-11-19,-0.1389451,0.2815479,0.0036
2020-11-20,-0.13638431,0.2899729,0.0036
2020-11-23,-0.14022964,0.2896471,0.0042
2020-11-24,-0.13937557,0.295313,0.0034
2020-11-25,-0.15480655,0.2775284,0.0042
2020-11-26,-0.16952133,0.25835276,0.0024000000000000002
2020-11-27,-0.1701386,0.26068914,0.0026000000000000003
2020-11-30,-0.1640616,0.27345097,0.0028000000000000004
2020-12-01,-0.14692461,0.30490553,0.0042
2020-12-02,-0.14292711,0.31624007,0.004
2020-12-03,-0.14510053,0.3181672,0.004
2020-12-04,-0.13937044,0.3317479,0.0036
2020-12-07,-0.12962925,0.3516158,0.0036
2020-12-08,-0.12411106,0.36423993,0.003
2020-12-09,-0.11017585,0.3911289,0.0038
2020-12-10,-0.10605544,0.40313506,0.004
2020-12-11,-0.10161537,0.4157169,0.004
2020-12-14,-0.10676384,0.4127003,0.0036
2020-12-15,-0.09003383,0.44424546,0.0036
2020-12-16,-0.07760328,0.4697516,0.004
2020-12-17,-0.050675154,0.51736224,0.0031999999999999997
2020-12-18,-0.019382179,0.57223535,0.0031999999999999997
2020-12-21,0.0005609989,0.60987043,0.0036
2020-12-22,0.024310708,0.6567763,0.0054
2020-12-23,0.0429132,0.6928294,0.0036
2020-12-24,0.050729632,0.7126267,0.0042
2020-12-25,0.07153845,0.75407934,0.0044
2020-12-28,0.03589368,0.7034478,0.0044
2020-12-29,0.0629257,0.7553952,0.0044
2020-12-30,0.031302214,0.7108935,0.0044
2020-12-31,0.026126146,0.7108611,0.005
2021-01-04,0.049387455,0.75785685,0.0048000000000000004
2021-01-05,0.057932615,0.78131187,0.005200000000000001
2021-01-06,0.07774413,0.82322,0.0048000000000000004
2021-01-07,0.06635404,0.81233823,0.0046
2021-01-08,0.07830572,0.8388127,0.0034
2021-01-11,0.0867461,0.8583547,0.0028000000000000004
