seed,AR_net,IR_net,AR_gross,IR_gross
0,-0.44158807,-1.6061641700862928,0.54145616,1.9695164221371335
1,-0.44030395,-1.6320832733501451,0.5583733,2.0736770501779502
2,-0.51265603,-1.7819156407241847,0.45752364,1.5931201706039562
3,-0.44030395,-1.6320832733501451,0.5583733,2.0736770501779502
4,-0.51265603,-1.7819156407241847,0.45752364,1.5931201706039562
